"filename", "language", "JavaScript", "CSS", "Python", "Database", "Properties", "HTML", "Batch", "XML", "PowerShell", "comment", "blank", "total"
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\.idea\Doctain-SDGP.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 21
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 40
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\.idea\jsLibraryMappings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\.idea\misc.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\Templates\AddDoctor.html", "HTML", 0, 0, 0, 0, 0, 122, 0, 0, 0, 2, 14, 138
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\Templates\AdminPage.html", "HTML", 0, 0, 0, 0, 0, 72, 0, 0, 0, 9, 12, 93
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\Templates\Bookmarks.html", "HTML", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 4, 45
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\Templates\SeeDoctors.html", "HTML", 0, 0, 0, 0, 0, 128, 0, 0, 0, 10, 11, 149
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\Templates\UserDetails.html", "HTML", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 5, 69
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\Templates\about.html", "HTML", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 4, 53
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\Templates\adminLogin.html", "HTML", 0, 0, 0, 0, 0, 38, 0, 0, 0, 2, 4, 44
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\Templates\contact.html", "HTML", 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 20, 113
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\Templates\faq.html", "HTML", 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 23, 121
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\Templates\forgetpw.html", "HTML", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\Templates\home.html", "HTML", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 4, 65
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\Templates\login.html", "HTML", 0, 0, 0, 0, 0, 40, 0, 0, 0, 4, 4, 48
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\Templates\patientLogin.html", "HTML", 0, 0, 0, 0, 0, 38, 0, 0, 0, 2, 4, 44
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\Templates\presUpload.html", "HTML", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 3, 42
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\Templates\showPrescription.html", "HTML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\Templates\signup.html", "HTML", 0, 0, 0, 0, 0, 293, 0, 0, 0, 5, 9, 307
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\Templates\upload.html", "HTML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 3, 39
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\User.py", "Python", 0, 0, 202, 0, 0, 0, 0, 0, 0, 61, 62, 325
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\doctain.db", "Database", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
